Plot,Comparison,Model,Dataset,Δp (pp),95% CI Lower,95% CI Upper,Confidence Interval,Significant
(b) Architecture,"same LAION-2B data, ∴88M params",ViT-B-16 (transformer),Fish,7.24,6.43,8.12,"[6.43, 8.12]",True
(b) Architecture,"same LAION-2B data, ∴88M params",ViT-B-16 (transformer),Flwrs102,2.7,2.1,3.32,"[2.10, 3.32]",True
(b) Architecture,"same LAION-2B data, ∴88M params",ViT-B-16 (transformer),ImgNet,0.05,-0.15,0.24,"[-0.15, 0.24]",False
(b) Architecture,"same LAION-2B data, ∴88M params",ViT-B-16 (transformer),Marine,1.21,0.79,1.63,"[0.79, 1.63]",True
(b) Architecture,"same LAION-2B data, ∴88M params",ViT-B-16 (transformer),OxPets,0.71,0.0,1.47,"[0.00, 1.47]",False
(b) Architecture,"same LAION-2B data, ∴88M params",ViT-B-16 (transformer),UCM,-0.62,-2.48,1.33,"[-2.48, 1.33]",False
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",OpenCLIP (softmax),COCO†,-0.05,-0.3,0.2,"[-0.30, 0.20]",False
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",OpenCLIP (softmax),CUB200,-0.67,-1.31,-0.02,"[-1.31, -0.02]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",OpenCLIP (softmax),EuroSAT,1.83,1.21,2.44,"[1.21, 2.44]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",OpenCLIP (softmax),Fish,7.24,6.43,8.12,"[6.43, 8.12]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",OpenCLIP (softmax),Flwrs102,2.7,2.1,3.32,"[2.10, 3.32]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",OpenCLIP (softmax),ImgNet,0.05,-0.15,0.24,"[-0.15, 0.24]",False
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",OpenCLIP (softmax),Marine,1.21,0.79,1.63,"[0.79, 1.63]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",OpenCLIP (softmax),OxPets,0.71,0.0,1.47,"[0.00, 1.47]",False
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",OpenCLIP (softmax),UCM,-0.62,-2.48,1.33,"[-2.48, 1.33]",False
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",SigLIP (sigmoid v1),COCO†,-0.43,-0.71,-0.18,"[-0.71, -0.18]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",SigLIP (sigmoid v1),CUB200,-0.78,-1.61,0.07,"[-1.61, 0.07]",False
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",SigLIP (sigmoid v1),EuroSAT,7.49,6.94,8.03,"[6.94, 8.03]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",SigLIP (sigmoid v1),Fish,4.82,4.04,5.57,"[4.04, 5.57]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",SigLIP (sigmoid v1),Flwrs102,2.83,2.16,3.53,"[2.16, 3.53]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",SigLIP (sigmoid v1),ImgNet,-0.01,-0.21,0.18,"[-0.21, 0.18]",False
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",SigLIP (sigmoid v1),Marine,1.54,1.17,1.9,"[1.17, 1.90]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",SigLIP (sigmoid v1),OxPets,0.98,0.38,1.64,"[0.38, 1.64]",True
(c) Training objective,"softmax vs sigmoid, ViT-B-16 scale",SigLIP (sigmoid v1),UCM,0.1,-1.38,1.62,"[-1.38, 1.62]",False
(d) Training data,same ViT-B-16 architecture,DataComp (XL filtered),COCO†,-0.6,-0.96,-0.25,"[-0.96, -0.25]",True
(d) Training data,same ViT-B-16 architecture,DataComp (XL filtered),CUB200,-0.35,-0.88,0.19,"[-0.88, 0.19]",False
(d) Training data,same ViT-B-16 architecture,DataComp (XL filtered),EuroSAT,6.66,6.03,7.29,"[6.03, 7.29]",True
(d) Training data,same ViT-B-16 architecture,DataComp (XL filtered),Fish,3.22,2.47,3.96,"[2.47, 3.96]",True
(d) Training data,same ViT-B-16 architecture,DataComp (XL filtered),Flwrs102,-0.1,-0.63,0.46,"[-0.63, 0.46]",False
(d) Training data,same ViT-B-16 architecture,DataComp (XL filtered),ImgNet,0.11,-0.09,0.31,"[-0.09, 0.31]",False
(d) Training data,same ViT-B-16 architecture,DataComp (XL filtered),Marine,2.67,2.25,3.07,"[2.25, 3.07]",True
(d) Training data,same ViT-B-16 architecture,DataComp (XL filtered),OxPets,2.02,1.23,2.78,"[1.23, 2.78]",True
(d) Training data,same ViT-B-16 architecture,DataComp (XL filtered),UCM,4.71,2.71,6.71,"[2.71, 6.71]",True
